rank,ticker,considered,total_earnings,pos_then_up,pos_then_down,neg_then_up,neg_then_down,continuation,reversal,momentum_bias
1,FSLR,44,44,36.36363636363637,11.363636363636363,9.090909090909092,43.18181818181818,79.54545454545455,20.454545454545453,59.09090909090909
2,CMG,46,46,30.434782608695652,8.695652173913043,19.565217391304348,41.30434782608695,71.73913043478261,28.26086956521739,43.47826086956522
3,VZ,45,45,48.888888888888886,20.0,8.88888888888889,22.22222222222222,71.11111111111111,28.88888888888889,42.22222222222223
4,WY,45,45,28.88888888888889,20.0,8.88888888888889,42.22222222222222,71.11111111111111,28.88888888888889,42.22222222222223
5,RSG,54,54,40.74074074074074,22.22222222222222,7.407407407407407,29.62962962962963,70.37037037037037,29.62962962962963,40.74074074074073
6,ISRG,54,54,42.592592592592595,11.11111111111111,20.37037037037037,25.925925925925927,68.51851851851852,31.48148148148148,37.03703703703704
7,SMCI,41,41,36.58536585365854,24.390243902439025,7.317073170731708,31.70731707317073,68.29268292682927,31.70731707317073,36.585365853658544
8,MSCI,40,40,55.0,15.0,17.5,12.5,67.5,32.5,35.0
9,EXPE,49,49,36.734693877551024,16.3265306122449,16.3265306122449,30.612244897959183,67.34693877551021,32.6530612244898,34.693877551020414
10,MOH,48,48,39.583333333333336,16.666666666666668,16.666666666666668,27.083333333333332,66.66666666666667,33.333333333333336,33.333333333333336
11,FE,48,48,31.25,16.666666666666668,16.666666666666668,35.416666666666664,66.66666666666666,33.333333333333336,33.33333333333332
12,BXP,47,47,36.170212765957444,17.02127659574468,17.02127659574468,29.78723404255319,65.95744680851064,34.04255319148936,31.914893617021278
13,EW,49,49,32.6530612244898,14.285714285714286,20.408163265306122,32.6530612244898,65.3061224489796,34.69387755102041,30.612244897959187
14,SYY,49,49,30.612244897959183,16.3265306122449,18.367346938775512,34.69387755102041,65.3061224489796,34.69387755102041,30.612244897959187
15,TRMB,54,54,46.2962962962963,11.11111111111111,24.074074074074073,18.51851851851852,64.81481481481481,35.18518518518518,29.629629629629626
16,MHK,54,54,44.44444444444444,16.666666666666668,18.51851851851852,20.37037037037037,64.81481481481481,35.18518518518519,29.62962962962962
17,GEN,53,53,26.41509433962264,20.754716981132077,15.09433962264151,37.735849056603776,64.15094339622641,35.84905660377359,28.30188679245282
18,NFLX,53,53,33.9622641509434,20.754716981132077,15.09433962264151,30.18867924528302,64.15094339622641,35.84905660377359,28.30188679245282
19,JBL,58,58,36.206896551724135,18.96551724137931,17.24137931034483,27.586206896551722,63.79310344827586,36.20689655172414,27.586206896551715
20,GILD,52,52,32.69230769230769,17.307692307692307,19.23076923076923,30.76923076923077,63.46153846153847,36.53846153846153,26.923076923076934
21,GPN,52,52,32.69230769230769,19.23076923076923,17.307692307692307,30.76923076923077,63.46153846153847,36.53846153846153,26.923076923076934
22,WMT,57,57,22.80701754385965,26.31578947368421,10.526315789473685,40.35087719298246,63.15789473684211,36.84210526315789,26.31578947368422
23,SYK,54,54,35.18518518518518,20.37037037037037,16.666666666666668,27.77777777777778,62.96296296296296,37.03703703703704,25.925925925925924
24,IBM,43,43,27.906976744186046,4.651162790697675,32.55813953488372,34.883720930232556,62.7906976744186,37.2093023255814,25.581395348837205
25,EA,51,51,37.254901960784316,13.72549019607843,23.529411764705884,25.49019607843137,62.74509803921569,37.254901960784316,25.490196078431374
